URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,Bachelor's degree,None,Long-term on-the-job training,131200,-3100,Essayists,63200.0,30.39,-0.02, Decline
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,Bachelor's degree,None,None,329200,5500,Geotechnical engineers,87060.0,41.86,0.02, Slower than average
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Maxillofacial pathologists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Cardiovascular surgeons,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,Bachelor's degree,None,None,66400,1900,Aircraft designers,116500.0,56.01,0.03, As fast as average
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Maxillofacial prosthodontists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Truck transmission builders,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,Associate's degree,None,None,43500,1400,Mechanical engineering technicians,56980.0,27.4,0.03, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Time clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,No formal educational credential,None,Moderate-term on-the-job training,379500,900,Roof painters,40280.0,19.37,0.0, Little or no change
https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,Bachelor's degree,Less than 5 years,None,94400,7500,Compensation specialists,64560.0,31.04,0.08, Much faster than average
https://www.bls.gov/ooh/management/administrative-services-managers.htm,Bachelor's degree,Less than 5 years,None,325900,21200,Business office managers,96940.0,46.61,0.06, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Blacktop-paver operators,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Casino slot supervisors,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,No formal educational credential,None,Short-term on-the-job training,2374200,105600,Janitors and building cleaners,27430.0,13.19,0.04, As fast as average
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,Bachelor's degree,None,None,443700,14300,SED middle school teachers,61030.0,0.0,0.03, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Airline reservationists,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,High school diploma or equivalent,None,Short-term on-the-job training,1146400,19500,Childcare providers,24230.0,11.65,0.02, Slower than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Electricians' assistants,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,See How to Become One,None,See How to Become One,127100,17000,Health educators and community health workers,46910.0,22.55,0.13, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Cork floor installers,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,State archivists,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,No formal educational credential,None,Moderate-term on-the-job training,161600,3800,Roofers,42100.0,20.24,0.02, Slower than average
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,4300,Technical communicators,72850.0,35.03,0.07, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,Bachelor's degree,None,None,328100,10800,Electronic engineers,101250.0,48.68,0.03, As fast as average
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,Bachelor's degree,None,None,52000,-5800,Film critics,46270.0,22.25,-0.11, Decline
