URL,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Employment Change, 2019-29",Job_Title,Yearly_Wage,Hourly_Wage,Job_Outlook_2019-29_Rate,Job_Outlook_2019-29_Discription
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Ornamental ironworker helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,Bachelor's degree,None,None,27500,400,Plastics engineers,93360.0,44.88,0.02, Slower than average
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,Bachelor's degree,None,None,316300,12400,Tool engineers,88430.0,42.51,0.04, As fast as average
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,Bachelor's degree,See How to Become One,See How to Become One,526200,-37600,"Purchasing agents, cotton, grain, livestock, other farm products",69600.0,33.46,-0.07, Decline
https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,High school diploma or equivalent,None,Apprenticeship,28900,1900,Elevator adjusters,84990.0,40.86,0.07, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,Bachelor's degree,None,None,316300,12400,Heating and cooling systems engineers,88430.0,42.51,0.04, As fast as average
https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,Bachelor's degree,None,Moderate-term on-the-job training,316900,10100,Mortgage loan officers,63270.0,30.42,0.03, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Steel fabricators,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,"Doctors, osteopathic",208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Battery assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,High school diploma or equivalent,None,Apprenticeship,15900,100,Boiler installers,63100.0,30.34,0.01, Slower than average
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,See How to Become One,None,Short-term on-the-job training,140300,13200,Dub room engineers,45510.0,21.88,0.09, Much faster than average
https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,Postsecondary nondegree award,None,None,58500,-1300,Medical transcriptionists,33380.0,16.05,-0.02, Decline
https://www.bls.gov/ooh/management/construction-managers.htm,Bachelor's degree,None,Moderate-term on-the-job training,476700,40400,"Superintendents, general",95260.0,45.8,0.08, Much faster than average
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,Postsecondary nondegree award,None,None,725200,139200,Orthopedic cast specialists,34800.0,16.73,0.19, Much faster than average
https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,Bachelor's degree,None,None,55400,1900,Budget examiners,76540.0,36.8,0.03, As fast as average
https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,Bachelor's degree,None,Long-term on-the-job training,66900,4900,Pension examiners,81090.0,38.99,0.07, Faster than average
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,Directors,104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/management/industrial-production-managers.htm,Bachelor's degree,5 years or more,None,190100,1700,Industrial production managers,105480.0,50.71,0.01, Slower than average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Mortgage clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Neonatal doctors,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Admitting interviewers,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,High school diploma or equivalent,None,Short-term on-the-job training,3018800,-59000,Customer complaint clerks,34710.0,16.69,-0.02, Decline
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,High school diploma or equivalent,None,Apprenticeship,15900,100,Boiler assemblers,63100.0,30.34,0.01, Slower than average
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,Bachelor's degree,Less than 5 years,None,209700,3400,Aviation maintenance instructors,58110.0,0.0,0.02, Slower than average
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,High school diploma or equivalent,5 years or more,None,952300,-61600,Christmas tree farm managers,71160.0,34.21,-0.06, Decline
https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,Bachelor's degree,None,None,1469200,316000,Software developers,107510.0,51.69,0.22, Much faster than average
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,Master's degree,Less than 5 years,None,190500,7100,Administrators,95410.0,45.87,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,High school diploma or equivalent,None,Apprenticeship,490200,20900,Marine steamfitters,55160.0,26.52,0.04, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Fiberglass rollers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,High school diploma or equivalent,None,Short-term on-the-job training,1146400,19500,Au pairs,24230.0,11.65,0.02, Slower than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Doll makers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Electromechanical assemblers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Scraper operators,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/management/administrative-services-managers.htm,Bachelor's degree,Less than 5 years,None,325900,21200,Administrative officers,96940.0,46.61,0.06, Faster than average
https://www.bls.gov/ooh/healthcare/dentists.htm,Doctoral or professional degree,None,See How to Become One,151600,4000,Pediatric dentists,159200.0,76.54,0.03, As fast as average
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Master's degree,None,None,2600,600,Certified genetic counselors,81880.0,39.36,0.21, Much faster than average
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Master's degree,None,None,2600,600,Genetic counselors,81880.0,39.36,0.21, Much faster than average
https://www.bls.gov/ooh/healthcare/physician-assistants.htm,Master's degree,None,None,125500,39300,Anesthesiologist assistants,112260.0,53.97,0.31, Much faster than average
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Master's degree,None,None,2600,600,Cancer genetic counselors,81880.0,39.36,0.21, Much faster than average
https://www.bls.gov/ooh/management/construction-managers.htm,Bachelor's degree,None,Moderate-term on-the-job training,476700,40400,General contractors,95260.0,45.8,0.08, Much faster than average
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,Master's degree,None,None,263400,117700,Dermatology nurse practitioners,115800.0,55.67,0.45, Much faster than average
https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,Bachelor's degree,None,None,90900,7100,Environmental scientists and specialists,71360.0,34.31,0.08, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,CAD designers,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,Bachelor's degree,None,None,213900,-20100,Computer programmers,86550.0,41.61,-0.09, Decline
https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,Bachelor's degree,None,None,27500,400,Glass science engineers,93360.0,44.88,0.02, Slower than average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Casino supervisors,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Obstetricians and gynecologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,51800,-10400,Floral arrangers,28040.0,13.48,-0.2, Decline
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Welfare interviewers,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,Mechanical drafters,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Payroll assistants,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Aircraft riveters,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Fiberglass ski makers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,Postsecondary nondegree award,None,None,111300,7600,Surgical scrub technologists,48300.0,23.22,0.07, Faster than average
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,Bachelor's degree,None,None,138600,10800,Event planners,50600.0,24.33,0.08, Much faster than average
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Sculptors,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,Bachelor's degree,None,Internship/residency,24500,-600,Golf course designers,69360.0,33.35,-0.02, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Cork insulator helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,See How to Become One,None,See How to Become One,184600,-7100,Microfilm clerks,30560.0,14.69,-0.04, Decline
https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,Bachelor's degree,None,Long-term on-the-job training,66900,4900,Financial compliance examiners,81090.0,38.99,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Construction laborers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,Aeronautical drafters,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Proposition players,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,Postsecondary nondegree award,None,None,111300,7600,TS-Cs,48300.0,23.22,0.07, Faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Anesthesiologists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,No formal educational credential,None,Short-term on-the-job training,2613800,97600,Waiters and waitresses,22890.0,11.0,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Staff psychiatrists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,Doctoral or professional degree,None,None,20500,1400,Physicists and astronomers,122220.0,58.76,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,No formal educational credential,None,Moderate-term on-the-job training,146900,-300,Drywall installers,47360.0,22.77,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,Master's degree,None,None,263400,117700,Internal medicine nurse practitioners,115800.0,55.67,0.45, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Cellulose insulation helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Field enumerators,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Concrete paving machine operators,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,Bachelor's degree,None,None,19800,2200,Exercise physiologists,49170.0,23.64,0.11, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,Bachelor's degree,None,None,21200,1000,Biochemical engineers,91410.0,43.95,0.05, Faster than average
https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,Bachelor's degree,None,None,67500,2800,Level designers,75270.0,36.19,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Plaster tenders,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Family practice physicians,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,Postsecondary nondegree award,None,Short-term on-the-job training,2029900,30600,Tow truck drivers,45260.0,21.76,0.02, Slower than average
https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,High school diploma or equivalent,5 years or more,None,952300,-61600,Aquaculture farm managers,71160.0,34.21,-0.06, Decline
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Steel fitters,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,Master's degree,None,Internship/residency,162600,40500,Speech-language pathologists,79120.0,38.04,0.25, Much faster than average
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Postsecondary nondegree award,None,None,354600,23400,Dental aides,40080.0,19.27,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Furnace masons,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,See How to Become One,None,See How to Become One,61300,1800,Insulation installers,44180.0,21.24,0.03, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Marble ceiling installers,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Probate clerks,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Hydraulic plumber helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Brickmasons,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,High school diploma or equivalent,None,Long-term on-the-job training,218100,900,Heavy vehicle and mobile equipment service technicians,51590.0,24.8,0.0, Little or no change
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Watercolor artists,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,Bachelor's degree,5 years or more,None,160100,8000,Computer network architects,112690.0,54.18,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,Bachelor's degree,None,None,1050800,40200,High school French teachers,61660.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,Postsecondary nondegree award,None,Short-term on-the-job training,2029900,30600,Logging truck drivers,45260.0,21.76,0.02, Slower than average
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,See How to Become One,None,See How to Become One,302100,-10000,Curbstone setters,46500.0,22.35,-0.03, Decline
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,Bachelor's degree,None,None,67900,12400,Cinematographers,59810.0,28.76,0.18, Much faster than average
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,High school diploma or equivalent,None,Short-term on-the-job training,3018800,-59000,Passenger relations representatives,34710.0,16.69,-0.02, Decline
https://www.bls.gov/ooh/management/top-executives.htm,Bachelor's degree,5 years or more,None,2774300,115000,Chief operating officers (C.O.O.),104690.0,50.33,0.04, As fast as average
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,See How to Become One,None,Long-term on-the-job training,51900,100,Quilters,48760.0,23.44,0.0, Little or no change
https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,Postsecondary nondegree award,None,None,722600,-9200,"Barbers, hairstylists, and cosmetologists",26270.0,12.63,-0.01, Decline
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Staff anesthetists,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,Associate's degree,None,None,200900,-7100,Circuit board drafters,56830.0,27.32,-0.04, Decline
https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm,Bachelor's degree,None,None,7000,400,Hydrologists,81270.0,39.07,0.05, Faster than average
https://www.bls.gov/ooh/management/public-relations-managers.htm,Bachelor's degree,5 years or more,None,88000,8100,Public relations practitioners,116180.0,55.86,0.09, Much faster than average
https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,Bachelor's degree,None,None,632400,46600,Computer systems analysts,90920.0,43.71,0.07, Faster than average
https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,Postsecondary nondegree award,None,None,265200,17000,Advanced EMTs,35400.0,17.02,0.06, Faster than average
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,See How to Become One,None,Short-term on-the-job training,140300,13200,Sound designers,45510.0,21.88,0.09, Much faster than average
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,See How to Become One,None,See How to Become One,149300,43000,Physical therapy assistants,48990.0,23.55,0.29, Much faster than average
https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm,Associate's degree,None,None,540400,13500,Nursery teachers,30520.0,14.67,0.02, Slower than average
https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,Bachelor's degree,Less than 5 years,None,876300,93800,Management analysts,85260.0,40.99,0.11, Much faster than average
https://www.bls.gov/ooh/management/human-resources-managers.htm,Bachelor's degree,5 years or more,None,165200,10400,Job analysis managers,116720.0,56.11,0.06, Faster than average
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,Conservators,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,Bachelor's degree,None,None,328100,10800,Electrical design engineers,101250.0,48.68,0.03, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,"Helpers—Pipelayers, plumbers, pipefitters, and steamfitters",36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,Bachelor's degree,None,None,443700,14300,SED high school teachers,61030.0,0.0,0.03, As fast as average
https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,See How to Become One,See How to Become One,Moderate-term on-the-job training,813500,40600,Police and detectives,65170.0,31.33,0.05, Faster than average
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Bachelor's degree,None,None,3096700,221900,Public health nurses,73300.0,35.24,0.07, Faster than average
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Bachelor's degree,None,None,1436100,61700,Management accountants,71550.0,34.4,0.04, As fast as average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Fiberglass laminators,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"Some college, no degree",None,None,1395900,50500,Instructional assistants,27920.0,0.0,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,See How to Become One,None,Short-term on-the-job training,1643900,81000,Sheet metal duct installer helpers,36000.0,17.31,0.05, Faster than average
https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,Bachelor's degree,None,None,100600,14400,Fundraisers,57970.0,27.87,0.14, Much faster than average
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,See How to Become One,None,None,37500,4200,Art doctors,49850.0,23.97,0.11, Much faster than average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Purchasing assistants,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Doctoral or professional degree,None,Internship/residency,752400,27300,Surgeons,208000.0,100.0,0.04, As fast as average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Executive casino hosts,23520.0,11.31,0.1, Much faster than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Kennel aides,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,Bachelor's degree,See How to Become One,See How to Become One,526200,-37600,Fruit buyers,69600.0,33.46,-0.07, Decline
https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,Bachelor's degree,None,None,32100,5200,Athletic trainers,48440.0,0.0,0.16, Much faster than average
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,468300,19200,Steam shovel operators,48160.0,23.16,0.04, As fast as average
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,High school diploma or equivalent,None,See How to Become One,1343400,3500,Financial clerks,40540.0,19.49,0.0, Little or no change
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,Bachelor's degree,None,None,146500,7300,Record librarians,59500.0,28.61,0.05, Faster than average
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,Bachelor's degree,None,None,328100,10800,Illuminating engineers,101250.0,48.68,0.03, As fast as average
https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,"Some college, no degree",None,Long-term on-the-job training,70100,2100,Actors,20.43,0.0,0.03, As fast as average
https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,Bachelor's degree,Less than 5 years,None,94400,7500,"Compensation, benefits, and job analysis specialists",64560.0,31.04,0.08, Much faster than average
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Classified ad clerks,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/management/emergency-management-directors.htm,Bachelor's degree,5 years or more,None,10400,500,Emergency services program coordinators,74590.0,35.86,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,High school diploma or equivalent,None,Apprenticeship,15900,100,Boilermaker mechanics,63100.0,30.34,0.01, Slower than average
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,High school diploma or equivalent,None,Apprenticeship,137700,1800,Air conditioning sheet metal installers,50400.0,24.23,0.01, Slower than average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Animal trainers,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-204300,Aircraft fuselage framers,33710.0,16.21,-0.11, Decline
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,See How to Become One,None,See How to Become One,1465800,-38000,Unemployment benefits claims takers,35390.0,17.01,-0.03, Decline
https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,High school diploma or equivalent,None,Short-term on-the-job training,373700,57600,Fitness trainers and instructors,40390.0,19.42,0.15, Much faster than average
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,Bachelor's degree,None,None,66400,1900,Flight systems test engineers,116500.0,56.01,0.03, As fast as average
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,High school diploma or equivalent,None,See How to Become One,350900,75500,Licensed guide dog instructors,24990.0,12.02,0.22, Much faster than average
https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,High school diploma or equivalent,None,Moderate-term on-the-job training,22800,1800,"Umpires, referees, and other sports officials",28550.0,0.0,0.08, Much faster than average
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,Master's degree,Less than 5 years,None,190500,7100,Admissions officers,95410.0,45.87,0.04, As fast as average
https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Postsecondary nondegree award,None,None,354600,23400,CDAs,40080.0,19.27,0.07, Faster than average
https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,Postsecondary nondegree award,None,Short-term on-the-job training,2029900,30600,Cement truck drivers,45260.0,21.76,0.02, Slower than average
https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,Postsecondary nondegree award,None,None,111300,7600,Certified surgical technologists,48300.0,23.22,0.07, Faster than average
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,High school diploma or equivalent,None,Apprenticeship,95900,4500,Precast concrete ironworkers,53650.0,25.79,0.05, Faster than average
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,See How to Become One,None,See How to Become One,184600,-7100,Film library clerk,30560.0,14.69,-0.04, Decline
https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,High school diploma or equivalent,None,Short-term on-the-job training,3439700,1159500,Home health aides and personal care aides,25280.0,12.15,0.34, Much faster than average
https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Bachelor's degree,None,None,1436100,61700,Certified public accountants,71550.0,34.4,0.04, As fast as average
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,No formal educational credential,None,See How to Become One,123400,4100,Wall-to-wall carpet installers,42050.0,20.22,0.03, As fast as average
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,High school diploma or equivalent,See How to Become One,See How to Become One,187300,19000,Blackjack pit bosses,23520.0,11.31,0.1, Much faster than average
