URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,"$45,260 per year  $21.76 per hour",Postsecondary nondegree award,None,Short-term on-the-job training,2029900,2% (Slower than average),30600,Heavy and tractor-trailer truck drivers
https://www.bls.gov/ooh/sales/sales-engineers.htm,"$103,900 per year  $49.95 per hour",Bachelor's degree,None,Moderate-term on-the-job training,64500,6% (Faster than average),4100,Sales engineers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Family practice medical doctors
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,Provosts
https://www.bls.gov/ooh/media-and-communication/editors.htm,"$61,370 per year  $29.50 per hour",Bachelor's degree,Less than 5 years,None,118700,-7% (Decline),-8700,Executive editors
https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm,"$70,990 per year  $34.13 per hour",Master's degree,None,None,8000,5% (Faster than average),400,Epidemiologists
https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm,"$63,930 per year  $30.74 per hour",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,7300,8% (Much faster than average),600,"Arbitrators, mediators, and conciliators"
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200,Audio recording engineers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Neurological surgeons
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,"$34,710 per year  $16.69 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3018800,-2% (Decline),-59000,Customer service representatives
https://www.bls.gov/ooh/protective-service/correctional-officers.htm,"$45,300 per year  $21.78 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,462300,-7% (Decline),-33100,Correctional officers and bailiffs
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,"$50,600 per year  $24.33 per hour",Bachelor's degree,None,None,138600,8% (Much faster than average),10800,Government meeting planners
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Mortgage processors
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Gas plumbers
https://www.bls.gov/ooh/management/construction-managers.htm,"$95,260 per year  $45.80 per hour",Bachelor's degree,None,Moderate-term on-the-job training,476700,8% (Much faster than average),40400,Construction managers
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Radio script writers
https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,"$88,020 per year  $42.32 per hour",Bachelor's degree,None,None,295800,10% (Much faster than average),30000,Production engineers
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500,Surgical orderlies
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Copy writers
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,"$34,710 per year  $16.69 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3018800,-2% (Decline),-59000,Policyholder information clerks
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,"$63,100 per year  $30.34 per hour",High school diploma or equivalent,None,Apprenticeship,15900,1% (Slower than average),100,Boiler testers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Carpet layer helpers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,Children's librarians
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Fire sprinkler installers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Clutch housing assemblers
https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,"$93,360 per year  $44.88 per hour",Bachelor's degree,None,None,27500,2% (Slower than average),400,Composites engineers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Drywall taper helpers
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Master electricians
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Authors
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Coil builders
https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,"$122,270 per year  $58.78 per hour",Bachelor's degree,5 years or more,None,18000,3% (As fast as average),500,Compensation directors
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"$27,920 per year","Some college, no degree",None,None,1395900,4% (As fast as average),50500,Special education aides
https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,"$93,360 per year  $44.88 per hour",Bachelor's degree,None,None,27500,2% (Slower than average),400,Metallurgists
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Wholesale buyers
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,Movie critics
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,"Internists, OB specialists"
https://www.bls.gov/ooh/management/human-resources-managers.htm,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400,"Directors, human resources"
https://www.bls.gov/ooh/healthcare/medical-assistants.htm,"$34,800 per year  $16.73 per hour",Postsecondary nondegree award,None,None,725200,19% (Much faster than average),139200,Optometric aides
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,Newspaper columnists
https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,"$75,270 per year  $36.19 per hour",Bachelor's degree,None,None,67500,4% (As fast as average),2800,Multimedia artists
https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,"$84,950 per year  $40.84 per hour",Master's degree,None,None,143300,16% (Much faster than average),22700,Occupational therapists
https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,"$96,400 per year",Master's degree,5 years or more,None,283200,4% (As fast as average),11100,"Elementary, middle, and high school principals"
https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,"$60,710 per year  $29.19 per hour",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training,120800,3% (As fast as average),3900,Building code inspectors
https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,"$73,790 per year  $35.48 per hour",Bachelor's degree,None,None,28300,-4% (Decline),-1300,Clothes designers
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400,Computer repair instructors
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Mortgage loan processors
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200,Hydraulic pile hammer operators
https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,"$48,330 per year  $23.24 per hour",High school diploma or equivalent,None,Apprenticeship,1024100,0% (Little or no change),-4200,House carpenters
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Rheumatologists
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Nephrologists
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,"$48,990 per year  $23.55 per hour",See How to Become One,None,See How to Become One,149300,29% (Much faster than average),43000,Clinical rehabilitation aides
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,Records and information managers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,"Sales assistants, brokerage"
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Assembling motor builders
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Motel clerks
https://www.bls.gov/ooh/management/top-executives.htm,"$104,690 per year  $50.33 per hour",Bachelor's degree,5 years or more,None,2774300,4% (As fast as average),115000,School superintendents
https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,"$87,060 per year  $41.86 per hour",Bachelor's degree,None,None,329200,2% (Slower than average),5500,Research hydraulic engineers
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Brickmason apprentices
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Service order clerks
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Electrical maintenance workers
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,"$116,500 per year  $56.01 per hour",Bachelor's degree,None,None,66400,3% (As fast as average),1900,Aerodynamic engineers
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,"Radiologists, oral and maxillofacial"
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Brick chimney builders
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,Oral pathologists
https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,"$35,320 per year  $16.98 per hour",Associate's degree,None,None,112900,16% (Much faster than average),18300,Veterinary surgery technologists
https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,"$63,200 per year  $30.39 per hour",Bachelor's degree,None,Long-term on-the-job training,131200,-2% (Decline),-3100,Biographers
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,Building managers
https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,"$146,360 per year  $70.37 per hour",Bachelor's degree,5 years or more,None,461000,10% (Much faster than average),48100,Computer and information systems managers
https://www.bls.gov/ooh/management/emergency-management-directors.htm,"$74,590 per year  $35.86 per hour",Bachelor's degree,5 years or more,None,10400,4% (As fast as average),500,Emergency management system directors
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100,Library technicians and assistants
https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,"$81,880 per year  $39.36 per hour",Master's degree,None,None,2600,21% (Much faster than average),600,Prenatal genetic counselors
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Information clerks
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,Records managers
https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm,"$34,040 per year  $16.37 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3126300,-5% (Decline),-155900,General office clerks
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Sheet rock tapers
https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,"$68,750 per year  $33.05 per hour",Associate's degree,None,None,131700,12% (Much faster than average),15600,"Diagnostic medical sonographers and cardiovascular technologists and technicians, including vascular technologists"
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Charge authorizers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Orthopedic surgeons
https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,"$46,500 per year  $22.35 per hour",See How to Become One,None,See How to Become One,302100,-3% (Decline),-10000,Banker masons
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200,Blade grader operators
https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,"$59,200 per year  $28.46 per hour",See How to Become One,None,See How to Become One,55100,32% (Much faster than average),17900,Licensed occupational therapy assistants
https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,"$32,500 per year  $15.62 per hour",No formal educational credential,None,Long-term on-the-job training,137500,2% (Slower than average),2300,Butchers
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,"$50,400 per year  $24.23 per hour",High school diploma or equivalent,None,Apprenticeship,137700,1% (Slower than average),1800,Sheet metal duct installers
https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,"$43,900 per year  $21.11 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,45300,8% (Much faster than average),3700,"Treatment, storage, and disposal (TSD) workers"
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Market research interviewers
https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,"$55,160 per year  $26.52 per hour",High school diploma or equivalent,None,Apprenticeship,490200,4% (As fast as average),20900,Plumber apprentices
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,University deans
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Kennel helpers
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Contract administrators
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,"Nurse anesthetists, nurse midwives, and nurse practitioners"
https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,"$59,810 per year  $28.76 per hour",Bachelor's degree,None,None,67900,18% (Much faster than average),12400,Videographers
https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,"$50,600 per year  $24.33 per hour",Bachelor's degree,None,None,138600,8% (Much faster than average),10800,Conference services managers
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,"$56,040 per year  $26.94 per hour",Bachelor's degree,None,None,77900,-5% (Decline),-3800,Interior decorators
https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,"$67,150 per year  $32.28 per hour",Bachelor's degree,Less than 5 years,None,175500,17% (Much faster than average),29800,Social work managers
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Aerial photographers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Post tensioning ironworker helpers
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Livestock buyers
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Barrel straighteners
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,"Drywall installers, ceiling tile installers, and tapers"
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Sourcing managers
https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,"$27,920 per year","Some college, no degree",None,None,1395900,4% (As fast as average),50500,Special education classroom aides
https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,"$95,410 per year  $45.87 per hour",Master's degree,Less than 5 years,None,190500,4% (As fast as average),7100,Postsecondary education administrators
https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,"$94,490 per year  $45.43 per hour",Doctoral or professional degree,None,None,34600,4% (As fast as average),1400,Biochemists and biophysicists
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,"$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800,Electronic design automation engineers
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,Grain buyers
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300,University librarians
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Construction carpenters helpers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Motor vehicle license clerks
https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm,"$50,730 per year  $24.39 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,477200,2% (Slower than average),11300,Real estate brokers and sales agents
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Beam builder helpers
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,"Internists, general"
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,"$88,430 per year  $42.51 per hour",Bachelor's degree,None,None,316300,4% (As fast as average),12400,Engine designers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Time checkers
https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,"$35,320 per year  $16.98 per hour",Associate's degree,None,None,112900,16% (Much faster than average),18300,LVTs
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100,Comic book artists
https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,"$34,710 per year  $16.69 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3018800,-2% (Decline),-59000,Complaint clerks
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,"$68,890 per year  $33.12 per hour",Bachelor's degree,None,None,42200,-4% (Decline),-1500,Rug designers
https://www.bls.gov/ooh/healthcare/registered-nurses.htm,"$73,300 per year  $35.24 per hour",Bachelor's degree,None,None,3096700,7% (Faster than average),221900,Endoscopy registered nurses
https://www.bls.gov/ooh/management/human-resources-managers.htm,"$116,720 per year  $56.11 per hour",Bachelor's degree,5 years or more,None,165200,6% (Faster than average),10400,Staffing managers
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600,"Purchasing managers, buyers, and purchasing agents"
https://www.bls.gov/ooh/production/quality-control-inspectors.htm,"$39,140 per year  $18.82 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,590100,-17% (Decline),-100400,Quality control inspectors
https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,"$29,640 per year  $14.25 per hour",See How to Become One,None,See How to Become One,1579100,8% (Much faster than average),119500,Hospital orderlies
https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,"$44,890 per year  $21.58 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,12000,51% (Much faster than average),6100,Solar PV installers
https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,"$122,220 per year  $58.76 per hour",Master's degree,None,None,7000,6% (Faster than average),400,Political scientists
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Brokerage purchase-and-sale clerks
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Aquarists
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Lighting fixture installers
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,Public health dentists
https://www.bls.gov/ooh/media-and-communication/photographers.htm,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800,Wedding photographers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Correspondence clerks
https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,"$56,180 per year  $27.01 per hour",High school diploma or equivalent,None,Apprenticeship,739200,8% (Much faster than average),62200,Chief electricians
https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,"$74,350 per year  $35.75 per hour",Master's degree,None,None,39700,11% (Much faster than average),4400,Urban and regional planners
https://www.bls.gov/ooh/media-and-communication/announcers.htm,"$39,790 per year  $19.13 per hour",See How to Become One,None,See How to Become One,76000,1% (Slower than average),700,Talk show hosts
https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,"$24,990 per year  $12.02 per hour",High school diploma or equivalent,None,See How to Become One,350900,22% (Much faster than average),75500,Groomers
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,"$88,430 per year  $42.51 per hour",Bachelor's degree,None,None,316300,4% (As fast as average),12400,Robotics engineers
https://www.bls.gov/ooh/management/training-and-development-managers.htm,"$113,350 per year  $54.50 per hour",Bachelor's degree,5 years or more,None,42300,7% (Faster than average),3100,Training managers
https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"$47,360 per year  $22.77 per hour",No formal educational credential,None,Moderate-term on-the-job training,146900,0% (Little or no change),-300,Drywall sanders
https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"$30,050 per year  $14.45 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1105300,4% (As fast as average),39500,Dental receptionists
https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm,"$81,540 per year  $39.20 per hour",Bachelor's degree,None,None,1600,-1% (Decline),0,Geographers
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Loan interviewers and clerks
https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,"$115,800 per year  $55.67 per hour",Master's degree,None,None,263400,45% (Much faster than average),117700,Neurosurgical nurse practitioners
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Order desk clerks
https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,"$93,360 per year  $44.88 per hour",Bachelor's degree,None,None,27500,2% (Slower than average),400,Semiconductor processing engineers
