URL,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29",Job_Title
https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,"This wage is equal to or greater than $208,000 per year or $100.00 per hour.",Doctoral or professional degree,None,Internship/residency,752400,4% (As fast as average),27300,Cardiovascular surgeons
https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,"$116,500 per year  $56.01 per hour",Bachelor's degree,None,None,66400,3% (As fast as average),1900,Aircraft designers
https://www.bls.gov/ooh/healthcare/dentists.htm,"$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000,Maxillofacial prosthodontists
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300,Truck transmission builders
https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,"$56,980 per year  $27.40 per hour",Associate's degree,None,None,43500,3% (As fast as average),1400,Mechanical engineering technicians
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500,Time clerks
https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,"$40,280 per year  $19.37 per hour",No formal educational credential,None,Moderate-term on-the-job training,379500,0% (Little or no change),900,Roof painters
https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,"$64,560 per year  $31.04 per hour",Bachelor's degree,Less than 5 years,None,94400,8% (Much faster than average),7500,Compensation specialists
https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$96,940 per year  $46.61 per hour",Bachelor's degree,Less than 5 years,None,325900,6% (Faster than average),21200,Business office managers
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200,Blacktop-paver operators
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000,Casino slot supervisors
https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,"$27,430 per year  $13.19 per hour",No formal educational credential,None,Short-term on-the-job training,2374200,4% (As fast as average),105600,Janitors and building cleaners
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300,SED middle school teachers
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000,Airline reservationists
https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,"$24,230 per year  $11.65 per hour",High school diploma or equivalent,None,Short-term on-the-job training,1146400,2% (Slower than average),19500,Childcare providers
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000,Electricians' assistants
https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,"$46,910 per year  $22.55 per hour",See How to Become One,None,See How to Become One,127100,13% (Much faster than average),17000,Health educators and community health workers
https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,"$42,050 per year  $20.22 per hour",No formal educational credential,None,See How to Become One,123400,3% (As fast as average),4100,Cork floor installers
https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"$49,850 per year  $23.97 per hour",See How to Become One,None,None,37500,11% (Much faster than average),4200,State archivists
https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,"$42,100 per year  $20.24 per hour",No formal educational credential,None,Moderate-term on-the-job training,161600,2% (Slower than average),3800,Roofers
https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,"$72,850 per year  $35.03 per hour",Bachelor's degree,Less than 5 years,Short-term on-the-job training,58400,7% (Faster than average),4300,Technical communicators
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,"$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800,Electronic engineers
https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,"$46,270 per year  $22.25 per hour",Bachelor's degree,None,None,52000,-11% (Decline),-5800,Film critics
